STATE,WHSE,DATE,SUPPLIER,BLOCK,BLOCK LOC,TRK,WT,SKS,MC,GRIT,ASTM,JIS,VM,ASH,FC,REMARKS,PHP/KG,PHP TTL,MC WTD,GRIT WTD,ASTM WTD,JIS WTD,VM WTD,ASH WTD,FC WTD,CLEAN_BLOCK
,WHSE B,45139,2023 BACKLOG,AUG-23-BLK4,B-3B,,70805,,11.8,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.93,1269533.65,835499,0,0,0,0,0,0,AUG-23-BLK4
,WHSE B,45139,2023 BACKLOG,AUG-23-BLK3,B-4B,,75471,,12.2,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,18.04,1361496.84,920746.2,0,0,0,0,0,0,AUG-23-BLK3
,WHSE B,45139,2023 BACKLOG,AUG-23-BLK2,B-5B,,74833,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,18.12,1355973.96,897996,0,0,0,0,0,0,AUG-23-BLK2
CLOSED,WHSE C,45017,2023 BACKLOG,APR-23-BLK3,C-1A,,70660,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.67,1389882.2,847920,0,0,0,0,0,0,APR-23-BLK3
CLOSED,WHSE C,45017,2023 BACKLOG,APR-23-BLK5,C-2A,,60245,,11.8,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.58,1179597.1,710891,0,0,0,0,0,0,APR-23-BLK5
CLOSED,WHSE C,45047,2023 BACKLOG,MAY-23-BLK2,C-3A,,53115,,11.8,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1049021.25,626757,0,0,0,0,0,0,MAY-23-BLK2
CLOSED,WHSE C,45047,2023 BACKLOG,MAY-23-BLK4,C-4A,,67411,,12.5,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.67,1325974.37,842637.5,0,0,0,0,0,0,MAY-23-BLK4
CLOSED,WHSE C,45047,2023 BACKLOG,MAY-23-BLK6,C-5A,,69615,,11.5,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.68,1370023.2,800572.5,0,0,0,0,0,0,MAY-23-BLK6
CLOSED,WHSE C,45017,2023 BACKLOG,APR-23-BLK4,C-1B,,59868,,11.8,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.65,1176406.2,706442.4,0,0,0,0,0,0,APR-23-BLK4
CLOSED,WHSE C,45047,2023 BACKLOG,MAY-23-BLK1,C-2B,,71444,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.68,1406017.92,857328,0,0,0,0,0,0,MAY-23-BLK1
CLOSED,WHSE C,45047,2023 BACKLOG,MAY-23-BLK3,C-3B,,62559,,13,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.5,1219900.5,813267,0,0,0,0,0,0,MAY-23-BLK3
CLOSED,WHSE C,45047,2023 BACKLOG,MAY-23-BLK5,C-4B,,64950,,11,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.65,1276267.5,714450,0,0,0,0,0,0,MAY-23-BLK5
CLOSED,WHSE C,45078,2023 BACKLOG,JUNE-23-BLK2,C-5B,,64700,,11.7,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1277825,756990,0,0,0,0,0,0,JUNE-23-BLK2
,WHSE B,45108,2023 BACKLOG,JULY-23-BLK4,B-7B,,58226,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.5,1018955,698712,0,0,0,0,0,0,JULY-23-BLK4
CLOSED,WHSE C,45078,2023 BACKLOG,JUNE-23-BLK3,C-7A,,73289,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.61,1437197.29,879468,0,0,0,0,0,0,JUNE-23-BLK3
CLOSED,WHSE C,45108,2023 BACKLOG,JULY-23-BLK1,C-8A,,64040,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,18.59,1190503.6,768480,0,0,0,0,0,0,JULY-23-BLK1
CLOSED,WHSE C,45108,2023 BACKLOG,JULY-23-BLK3,C-9A,,76288,,12.75,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,18.61,1419719.68,972672,0,0,0,0,0,0,JULY-23-BLK3
CLOSED,WHSE C,45078,2023 BACKLOG,JUNE-23-BLK4,C-7B,,67970,,10.5,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.68,1337649.6,713685,0,0,0,0,0,0,JUNE-23-BLK4
CLOSED,WHSE C,45108,2023 BACKLOG,JULY-23-BLK2,C-8B,,65056,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,18.75,1219800,780672,0,0,0,0,0,0,JULY-23-BLK2
CLOSED,WHSE C,45139,2023 BACKLOG,AUG-23-BLK1,C-9B,,61409,,12.3,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,18.39,1129311.51,755330.7,0,0,0,0,0,0,AUG-23-BLK1
CLOSED,WHSE C,45231,2023 BACKLOG,NOV-23-BLK3,C-17A,,58915,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.5,1031012.5,706980,0,0,0,0,0,0,NOV-23-BLK3
CLOSED,WHSE C,45231,2023 BACKLOG,NOV-23-BLK2,C-18A,,80945,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.37,1406014.65,971340,0,0,0,0,0,0,NOV-23-BLK2
CLOSED,WHSE C,45261,2023 BACKLOG,DEC-23-BLK2,C-19A,,63161,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,16.77,1059209.97,757932,0,0,0,0,0,0,DEC-23-BLK2
